CATEGORIA,NOME ,PRODUTTORE,ANNO,PROVENIENZA,FORNITORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO,,,,,,,,
,Rosè Comtes '04 magnum,Taittinger,,Champagne,,"€ 340,00","€ 442,00",0,"€ 0,00",,,,,,,,
,Rosè Taittinger,Taittinger,,Champagne,,"€ 39,00","€ 50,70",6,"€ 234,00",,,,,,,,
,Salmannazar,Taittinger,,Champagne,,"€ 575,00","€ 747,50",1,"€ 575,00",,,,,,,,
,Brunello di Montalcino '11,Talenti,,Toscana,,"€ 23,00","€ 29,90",0,"€ 0,00",,,,,,,,
,Champagne Nature,Tarlant,,Champagne,,"€ 39,80","€ 51,74",0,"€ 0,00",,,,,,,,
,Champagne rosè nature,Tarlant,,Champagne,,"€ 48,00","€ 62,40",0,"€ 0,00",,,,,,,,
,Buonora ,Tasca D'Almerita,,Sicilia,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Cabernet Sauvignon,Tasca D'Almerita,,Sicilia,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,CapoFaro,Tasca D'Almerita,,Sicilia,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Chardonnay ,Tasca D'Almerita,,Sicilia,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Diamante,Tasca D'Almerita,,Sicilia,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Ghiaia Nera,Tasca D'Almerita,,Sicilia,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Lamuri '08,Tasca D'Almerita,,Sicilia,,"€ 4,95","€ 6,44",0,"€ 0,00",,,,,,,,
,Leone D'Almerita '13,Tasca D'Almerita,,Sicilia,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,Nozze D'oro '11,Tasca D'Almerita,,Sicilia,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Nozze D'oro magnum,Tasca D'Almerita,,Sicilia,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Rosso del Conte '06,Tasca D'Almerita,,Sicilia,,"€ 23,00","€ 29,90",0,"€ 0,00",,,,,,,,
,Tascante,Tasca D'Almerita,,Sicilia,,"€ 18,00","€ 23,40",0,"€ 0,00",,,,,,,,
,Riesling,Taschlerhof,,Alto Adige,,"€ 10,50","€ 13,65",0,"€ 0,00",,,,,,,,
,Barolo '05,Tebavio ,,Piemonte,,"€ 15,90","€ 20,67",0,"€ 0,00",,,,,,,,
,Taurasi Poliphemo,Tecce,,Campania,,"€ 29,40","€ 38,22",0,"€ 0,00",,,,,,,,
,Amarone '15,Tedeschi,,Veneto,,"€ 16,60","€ 21,58",0,"€ 0,00",,,,,,,,
,Amarone monte Olmi,Tedeschi,,Veneto,,"€ 30,00","€ 39,00",0,"€ 0,00",,,,,,,,
,Capitel San Rocco Ripasso,Tedeschi,,Veneto,,"€ 7,40","€ 9,62",0,"€ 0,00",,,,,,,,
,Valpolicella LUCCHINE,Tedeschi,,Veneto,,"€ 3,50","€ 4,55",0,"€ 0,00",,,,,,,,
,Valpolicella Nicalò,Tedeschi,,Veneto,,"€ 5,40","€ 7,02",0,"€ 0,00",,,,,,,,
,Franciacorta Brut,Tenuta Ambrosini,,Lombardia,,"€ 11,70","€ 15,21",0,"€ 0,00",,,,,,,,
,Franciacorta Saten,Tenuta Ambrosini,,Lombardia,,"€ 13,80","€ 17,94",0,"€ 0,00",,,,,,,,
,Bianco di Bologna,Tenuta Bonzara,,Emilia Romagna,,"€ 5,50","€ 7,15",24,"€ 132,00",,,,,,,,
,Cabernet Bonzarone 17,Tenuta Bonzara,,Emilia Romagna,,"€ 13,00","€ 16,90",6,"€ 78,00",,,,,,,,
,Cabernet Bonzarone magnum BFC,Tenuta Bonzara,,Emilia Romagna,,"€ 48,00","€ 62,40",0,"€ 0,00",,,,,,,,
,Cabernet del Borgo Rosso Bologna,Tenuta Bonzara,,Emilia Romagna,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Merlot,Tenuta Bonzara,,Emilia Romagna,,"€ 4,90","€ 6,37",0,"€ 0,00",,,,,,,,
,Merlot Rocca di Bonacciara,Tenuta Bonzara,,Emilia Romagna,,"€ 12,10","€ 15,73",18,"€ 217,80",,,,,,,,
,Negretto Bonzarino,Tenuta Bonzara,,Emilia Romagna,,"€ 4,10","€ 5,33",18,"€ 73,80",,,,,,,,
,Pignoletto frizz.,Tenuta Bonzara,,Emilia Romagna,,"€ 5,00","€ 6,50",30,"€ 150,00",,,,,,,,
,Rosso bologna (cabernet+merlot),Tenuta Bonzara,,Emilia Romagna,,"€ 5,80","€ 7,54",18,"€ 104,40",,,,,,,,
,"Sauvignon ""Le Carrate""",Tenuta Bonzara,,Emilia Romagna,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,U Pasa,Tenuta Bonzara,,Emilia Romagna,,"€ 12,50","€ 16,25",0,"€ 0,00",,,,,,,,
,Vigna Antica Pignoletto,Tenuta Bonzara,,Emilia Romagna,,"€ 9,20","€ 11,96",24,"€ 220,80",,,,,,,,
,Brunello di Montalcino,Tenuta Buon Tempo,,Toscana,,"€ 24,90","€ 32,37",0,"€ 0,00",,,,,,,,
,Riesling,Tenuta Carretta,,Piemonte,,"€ 9,60","€ 12,48",0,"€ 0,00",,,,,,,,
,Pas Dose Alta Langa,Tenuta Carretta ,,Piemonte,,"€ 14,95","€ 19,44",0,"€ 0,00",,,,,,,,
,Bianco,Tenuta delle Ripalte ,,Toscana,,"€ 8,00","€ 10,40",12,"€ 96,00",,,,,,,,
,Rosato ,Tenuta delle Ripalte ,,Toscana,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Etna Rosso,Tenuta di Castellano,,Sicilia,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Guidesco Merlot,Tenuta Folesano,,Emilia Romagna,,"€ 9,30","€ 12,09",0,"€ 0,00",,,,,,,,
,Rosso Bologna Balanzone,Tenuta Folesano,,Emilia Romagna,,"€ 8,50","€ 11,05",0,"€ 0,00",,,,,,,,
,Aglianico,Tenuta Fontana,,Campania,,"€ 8,50","€ 11,05",0,"€ 0,00",,,,,,,,
,Asprinio Aversa,Tenuta Fontana,,Campania,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Chianti,Tenuta la Novella,,Toscana,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Syrah,Tenuta la Novella,,Toscana,,"€ 18,50","€ 24,05",0,"€ 0,00",,,,,,,,
,sangiovese Colombarone magnum,Tenuta la Viola,,Emilia Romagna,,"€ 13,95","€ 18,14",0,"€ 0,00",,,,,,,,
,Sangiovese di Rom. Oddone,Tenuta la Viola,,Emilia Romagna,,"€ 3,45","€ 4,49",0,"€ 0,00",,,,,,,,
,Sangiovese di Rom. Riserva Honorii,Tenuta la Viola,,Emilia Romagna,,"€ 13,10","€ 17,03",0,"€ 0,00",,,,,,,,
,Sangiovese di Rom. Sup. Colombarone,Tenuta la Viola,,Emilia Romagna,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Dracone,Tenuta Palazzona di Maggio,,Emilia Romagna,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,E' Iss Tintore aglianico piedirosso,Tenuta San Francersco,,Campania,,"€ 23,00","€ 29,90",0,"€ 0,00",,,,,,,,
,Tramonti,Tenuta San Francersco,,Campania,,"€ 10,50","€ 13,65",0,"€ 0,00",,,,,,,,
,Albana Passito,Tenuta Uccellina,,Emilia Romagna,,"€ 11,30","€ 14,69",0,"€ 0,00",,,,,,,,
,Burson 2016 riserva,Tenuta Uccellina,,Emilia Romagna,,"€ 12,00","€ 15,60",12,"€ 144,00",,,,,,,,
,Burson Blu,Tenuta Uccellina,,Emilia Romagna,,"€ 5,80","€ 7,54",6,"€ 34,80",,,,,,,,
,Sangiovese di Romagna Ris Ghineo,Tenuta Uccellina,,Emilia Romagna,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Sangiovese Superiore Clivo,Tenuta Uccellina,,Emilia Romagna,,"€ 6,50","€ 8,45",24,"€ 156,00",,,,,,,,
,Aleatico '06,Tenute Rubino,,Puglia,,"€ 7,50","€ 9,75",0,"€ 0,00",,,,,,,,
,Jaddico,Tenute Rubino,,Puglia,,"€ 8,90","€ 11,57",0,"€ 0,00",,,,,,,,
,Negroamaro,Tenute Rubino,,Puglia,,"€ 4,80","€ 6,24",0,"€ 0,00",,,,,,,,
,Primitivo Punta Aquila '07,Tenute Rubino,,Puglia,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Torre Testa '03,Tenute Rubino,,Puglia,,"€ 15,00","€ 19,50",0,"€ 0,00",,,,,,,,
,Visellio '03/04,Tenute Rubino,,Puglia,,"€ 8,00","€ 10,40",0,"€ 0,00",,,,,,,,
,Chardonnay ,Tercic,,Friuli Venezia Giulia,,"€ 8,60","€ 11,18",0,"€ 0,00",,,,,,,,
,Friulano ,Tercic,,Friuli Venezia Giulia,,"€ 8,60","€ 11,18",0,"€ 0,00",,,,,,,,
,Ribolla '07,Tercic,,Friuli Venezia Giulia,,"€ 8,40","€ 10,92",0,"€ 0,00",,,,,,,,
,Sauvignon ,Tercic,,Friuli Venezia Giulia,,"€ 8,60","€ 11,18",0,"€ 0,00",,,,,,,,
,Vino degli orti (riesling+ribolla+sauv,Tercic,,Friuli Venezia Giulia,,"€ 7,30","€ 9,49",0,"€ 0,00",,,,,,,,
,Bramaluce (shiraz+sangiovese),Terenzi,,Toscana,,"€ 6,10","€ 7,93",0,"€ 0,00",,,,,,,,
,Cinqueterre sciacchetrà ,Terenzuola,,Liguria,,"€ 32,00","€ 41,60",0,"€ 0,00",,,,,,,,
,Vermentino ,Terenzuola,,Liguria,,"€ 7,50","€ 9,75",0,"€ 0,00",,,,,,,,
,Vermentino nero,Terenzuola,,Liguria,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Cabernet Siemegg,Terlano,,Alto Adige,,"€ 8,10","€ 10,53",0,"€ 0,00",,,,,,,,
,Chardonnay '00,Terlano,,Alto Adige,,"€ 50,00","€ 65,00",0,"€ 0,00",,,,,,,,
,Chardonnay '18,Terlano,,Alto Adige,,"€ 7,50","€ 9,75",48,"€ 360,00",,,,,,,,
,Chardonnay Kreuth,Terlano,,Alto Adige,,"€ 11,80","€ 15,34",0,"€ 0,00",,,,,,,,
,Gewurztraminer '18                      ,Terlano,,Alto Adige,,"€ 8,50","€ 11,05",0,"€ 0,00",,,,,,,,
,Lagrein ,Terlano,,Alto Adige,,"€ 9,00","€ 11,70",54,"€ 486,00",,,,,,,,
,Lagrein gries,Terlano,,Alto Adige,,"€ 11,40","€ 14,82",0,"€ 0,00",,,,,,,,
,"Lagrein gries 1,5",Terlano,,Alto Adige,,"€ 20,40","€ 26,52",0,"€ 0,00",,,,,,,,
,Lagrein Porphyr,Terlano,,Alto Adige,,"€ 25,00","€ 32,50",0,"€ 0,00",,,,,,,,
,Lunare traminer '20,Terlano,,Alto Adige,,"€ 27,30","€ 35,49",0,"€ 0,00",,,,,,,,
,Merlot siebeneich,Terlano,,Alto Adige,,"€ 11,10","€ 14,43",0,"€ 0,00",,,,,,,,
,Muller-thurgau,Terlano,,Alto Adige,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Nova Domus '01,Terlano,,Alto Adige,,"€ 36,05","€ 46,87",0,"€ 0,00",,,,,,,,
,Nova Domus '11,Terlano,,Alto Adige,,"€ 18,50","€ 24,05",0,"€ 0,00",,,,,,,,
,Nova Domus '16,Terlano,,Alto Adige,,"€ 23,60","€ 30,68",0,"€ 0,00",,,,,,,,
,Nova Domus '17,Terlano,,Alto Adige,,"€ 23,60","€ 30,68",0,"€ 0,00",,,,,,,,
,Nova Domus '18,Terlano,,Alto Adige,,"€ 24,00","€ 31,20",0,"€ 0,00",,,,,,,,
,Nova Domus '19,Terlano,,Alto Adige,,"€ 27,00","€ 35,10",0,"€ 0,00",,,,,,,,
,Nova Domus '21,Terlano,,Alto Adige,,"€ 29,00","€ 37,70",0,"€ 0,00",,,,,,,,
,Nova Domus '22,Terlano,,Alto Adige,,"€ 30,00","€ 39,00",12,"€ 360,00",,,,,,,,
,Nova Domus mag.'10,Terlano,,Alto Adige,,"€ 38,55","€ 50,12",0,"€ 0,00",,,,,,,,
,Nova Domus magn. '17,Terlano,,Alto Adige,,"€ 49,80","€ 64,74",0,"€ 0,00",,,,,,,,
,Nova Domus magnum '10,Terlano,,Alto Adige,,"€ 78,50","€ 102,05",0,"€ 0,00",,,,,,,,
,Nova Domus magnum '11,Terlano,,Alto Adige,,"€ 74,50","€ 96,85",0,"€ 0,00",,,,,,,,
,Nova Domus magnum '12,Terlano,,Alto Adige,,"€ 70,80","€ 92,04",0,"€ 0,00",,,,,,,,
,Nova Domus magnum '13,Terlano,,Alto Adige,,"€ 86,40","€ 112,32",1,"€ 86,40",,,,,,,,
,Nova Domus magnum '14,Terlano,,Alto Adige,,"€ 82,40","€ 107,12",2,"€ 164,80",,,,,,,,
,Nova Domus Magnum '15,Terlano,,Alto Adige,,"€ 78,40","€ 101,92",2,"€ 156,80",,,,,,,,
,Pinot Bianco '20,Terlano,,Alto Adige,,"€ 7,50","€ 9,75",24,"€ 180,00",,,,,,,,
,Pinot Bianco '96,Terlano,,Alto Adige,,"€ 46,90","€ 60,97",0,"€ 0,00",,,,,,,,
,"Pinot Bianco ""Rarity"" 2012 ",Terlano,,Alto Adige,,"€ 112,00","€ 145,60",2,"€ 224,00",,,,,,,,
,Pinot Bianco magnum '09,Terlano,,Alto Adige,,"€ 60,20","€ 78,26",0,"€ 0,00",,,,,,,,
,Pinot Bianco magnum '10,Terlano,,Alto Adige,,"€ 57,20","€ 74,36",0,"€ 0,00",,,,,,,,
,Pinot Bianco magnum '11,Terlano,,Alto Adige,,"€ 54,20","€ 70,46",0,"€ 0,00",,,,,,,,
,Pinot Bianco Rarity '07,Terlano,,Alto Adige,,"€ 112,00","€ 145,60",2,"€ 224,00",,,,,,,,
,Pinot Bianco Vorberg '03,Terlano,,Alto Adige,,"€ 19,90","€ 25,87",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '05 magnu,Terlano,,Alto Adige,,"€ 21,50","€ 27,95",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '11,Terlano,,Alto Adige,,"€ 10,90","€ 14,17",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '12,Terlano,,Alto Adige,,"€ 13,00","€ 16,90",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '13,Terlano,,Alto Adige,,"€ 15,10","€ 19,63",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '14,Terlano,,Alto Adige,,"€ 15,40","€ 20,02",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '15,Terlano,,Alto Adige,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '17,Terlano,,Alto Adige,,"€ 16,40","€ 21,32",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '19,Terlano,,Alto Adige,,"€ 16,80","€ 21,84",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '20,Terlano,,Alto Adige,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '21,Terlano,,Alto Adige,,"€ 21,40","€ 27,82",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '22,Terlano,,Alto Adige,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Pinot Bianco Vorberg '23,Terlano,,Alto Adige,,"€ 21,50","€ 27,95",24,"€ 516,00",,,,,,,,
,Pinot Bianco Vorberg Magnum '13,Terlano,,Alto Adige,,"€ 71,00","€ 92,30",2,"€ 142,00",,,,,,,,
,Pinot Bianco Vorberg Magnum '14,Terlano,,Alto Adige,,"€ 67,00","€ 87,10",2,"€ 134,00",,,,,,,,
,Pinot Bianco Vorberg Magnum '15,Terlano,,Alto Adige,,"€ 63,00","€ 81,90",2,"€ 126,00",,,,,,,,
,Pinot Nero ,Terlano,,Alto Adige,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Santa maddalena,Terlano,,Alto Adige,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,Sauvignon quarz '18,Terlano,,Alto Adige,,"€ 35,00","€ 45,50",15,"€ 525,00",,,,,,,,
,Sauvignon Quarz magnum '06,Terlano,,Alto Adige,,"€ 36,10","€ 46,93",0,"€ 0,00",,,,,,,,
,Sauvignon Winkl  '24,Terlano,,Alto Adige,,"€ 13,50","€ 17,55",60,"€ 810,00",,,,,,,,
,Siebeneich (merlot),Terlano,,Alto Adige,,"€ 11,30","€ 14,69",0,"€ 0,00",,,,,,,,
,Siebeneich (merlot) '05 magnum,Terlano,,Alto Adige,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Terlaner Grand Cuvee 2017,Terlano,,Alto Adige,,"€ 135,00","€ 175,50",0,"€ 0,00",,,,,,,,
,Terlaner raryti,Terlano,,Alto Adige,,"€ 150,00","€ 195,00",0,"€ 0,00",,,,,,,,
,Terlano classico '16,Terlano,,Alto Adige,,"€ 11,00","€ 14,30",30,"€ 330,00",,,,,,,,
,Vorberg mag '00,Terlano,,Alto Adige,,"€ 50,00","€ 65,00",0,"€ 0,00",,,,,,,,
,Jackot,Terpin,,Friuli,,"€ 10,80","€ 14,04",0,"€ 0,00",,,,,,,,
,Ribolla gialla,Terpin,,Friuli,,"€ 10,80","€ 14,04",0,"€ 0,00",,,,,,,,
,Sauvignon,Terpin,,Friuli,,"€ 12,50","€ 16,25",0,"€ 0,00",,,,,,,,
,Albana Passito,Terra di Brisighella,,Emilia Romagna,,"€ 8,80","€ 11,44",18,"€ 158,40",,,,,,,,
,Cagnina,Terra di Brisighella,,Emilia Romagna,,"€ 5,80","€ 7,54",0,"€ 0,00",,,,,,,,
,Brut,Terra Donata,,Lombardia,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Brut Magnum,Terra Donata,,Lombardia,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Millesimato dosaggio zero,Terra Donata,,Lombardia,,"€ 14,50","€ 18,85",0,"€ 0,00",,,,,,,,
,Nature Noir,Terra Donata,,Lombardia,,"€ 10,50","€ 13,65",48,"€ 504,00",,,,,,,,
,Nature Noir Magnum,Terra Donata,,Lombardia,,"€ 21,00","€ 27,30",14,"€ 294,00",,,,,,,,
,Saten ,Terra Donata,,Lombardia,,"€ 10,50","€ 13,65",114,"€ 1.197,00",,,,,,,,
,Saten Magnum,Terra Donata,,Lombardia,,"€ 21,00","€ 27,30",14,"€ 294,00",,,,,,,,
,Bianchello Boccalino,Terracruda,,Marche,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Giaietto Rosso,Terradonna,,Toscana,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Okenio cabernet sauvignon,Terradonna,,Toscana,,"€ 16,00","€ 20,80",0,"€ 0,00",,,,,,,,
,Terradonna Rosato,Terradonna,,Toscana,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Sangiovese di romagna Nobis,Terre della Pieve,,Emilia Romagna,,"€ 7,50","€ 9,75",0,"€ 0,00",,,,,,,,
,Barbera d'Alba,Terre di Barolo,,Piemonte,,"€ 2,00","€ 2,60",0,"€ 0,00",,,,,,,,
,Barolo '03,Terre di Barolo,,Piemonte,,"€ 12,80","€ 16,64",0,"€ 0,00",,,,,,,,
,Dolcetto,Terre di Barolo,,Piemonte,,"€ 2,00","€ 2,60",0,"€ 0,00",,,,,,,,
,Gavi,Terre di Barolo,,Piemonte,,"€ 3,00","€ 3,90",0,"€ 0,00",,,,,,,,
,Terre di Lavoro,Terre di lavoro,,Campania,,"€ 26,00","€ 33,80",0,"€ 0,00",,,,,,,,
,Calderara,Terre Nere,,Sicilia,,"€ 45,00","€ 58,50",0,"€ 0,00",,,,,,,,
,Etna Bianco,Terre Nere,,Sicilia,,"€ 20,50","€ 26,65",0,"€ 0,00",,,,,,,,
,Etna Niche Montalto '20,Terre Nere,,Sicilia,,"€ 28,95","€ 37,64",0,"€ 0,00",,,,,,,,
,Etna Niche Montalto '21,Terre Nere,,Sicilia,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Etna rosso,Terre Nere,,Sicilia,,"€ 19,10","€ 24,83",0,"€ 0,00",,,,,,,,
,Etna Rosso Niche Sottana,Terre Nere,,Sicilia,,"€ 28,95","€ 37,64",0,"€ 0,00",,,,,,,,
,Etna Rosso Santo Spirito,Terre Nere,,Sicilia,,"€ 26,00","€ 33,80",0,"€ 0,00",,,,,,,,
,Etna Rosso Santo Spirito '20,Terre Nere,,Sicilia,,"€ 33,25","€ 43,23",0,"€ 0,00",,,,,,,,
,Feudo di mezzo '13,Terre Nere,,Sicilia,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Feudo di mezzo '20,Terre Nere,,Sicilia,,"€ 35,26","€ 45,84",0,"€ 0,00",,,,,,,,
,Feudo di mezzo '21,Terre Nere,,Sicilia,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Feudo di Mezzo '22,Terre Nere,,Sicilia,,"€ 37,00","€ 48,10",6,"€ 222,00",,,,,,,,
,Guardiola '21,Terre Nere,,Sicilia,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Guardiola cru '20,Terre Nere,,Sicilia,,"€ 33,25","€ 43,23",0,"€ 0,00",,,,,,,,
,Prephylloxera,Terre Nere,,Sicilia,,"€ 53,00","€ 68,90",0,"€ 0,00",,,,,,,,
,Prephylloxera '20,Terre Nere,,Sicilia,,"€ 112,00","€ 145,60",0,"€ 0,00",,,,,,,,
,San Lorenzo,Terre Nere,,Sicilia,,"€ 42,60","€ 55,38",0,"€ 0,00",,,,,,,,
,Santo Spirito '23,Terre Nere,,Sicilia,,"€ 40,00","€ 52,00",0,"€ 0,00",,,,,,,,
,Vigne Niche Santo Spirito '21,Terre Nere,,Sicilia,,"€ 27,00","€ 35,10",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino,Terre Nere,,Toscana,,"€ 31,50","€ 40,95",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino ,Terre Nere,,Toscana,,"€ 31,50","€ 40,95",0,"€ 0,00",,,,,,,,
,Calderara Sottana '23,Terre Nere ,,Sicilia,,"€ 37,00","€ 48,10",6,"€ 222,00",,,,,,,,
,Falanghina '09,Terredora,,Campania,,"€ 5,00","€ 6,50",0,"€ 0,00",,,,,,,,
,Fiano,Terredora,,Campania,,"€ 5,90","€ 7,67",0,"€ 0,00",,,,,,,,
,Greco di tufo ,Terredora,,Campania,,"€ 5,90","€ 7,67",0,"€ 0,00",,,,,,,,
,Taurasi '01,Terredora,,Campania,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Taurasi '01Campor,Terredora,,Campania,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Taurasi '05,Terredora,,Campania,,"€ 14,00","€ 18,20",0,"€ 0,00",,,,,,,,
,Taurasi per beneficenza,Terredora,,Campania,,"€ 20,00","€ 26,00",0,"€ 0,00",,,,,,,,
,Vernaccia di San Gimignano,Teruzzi,,Toscana,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Brut,Thienot,,Champagne,,"€ 38,00","€ 49,40",0,"€ 0,00",,,,,,,,
,Cabernet franc,Tiare,,F/G,,"€ 8,75","€ 10,40",0,"€ 0,00",,,,,,,,
,Chardonnay,Tiare,,F/G,,"€ 10,10","€ 13,13",0,"€ 0,00",,,,,,,,
,Friulano,Tiare,,F/G,,"€ 10,10","€ 13,13",0,"€ 0,00",,,,,,,,
,Malvasia,Tiare,,F/G,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Merlot ,Tiare,,F/G,,"€ 7,00","€ 9,10",0,"€ 0,00",,,,,,,,
,Pinot Grigio Masseré,Tiare,,F/G,,"€ 10,10","€ 13,13",18,"€ 181,80",,,,,,,,
,Pinot Nero ,Tiare,,F/G,,"€ 12,00","€ 15,60",0,"€ 0,00",,,,,,,,
,Ribolla Gialla,Tiare,,F/G,,"€ 10,00","€ 13,00",0,"€ 0,00",,,,,,,,
,Sauvignon Empire ,Tiare,,F/G,,"€ 24,00","€ 31,20",6,"€ 144,00",,,,,,,,
,Sauvignon Tiare,Tiare,,F/G,,"€ 12,50","€ 16,25",42,"€ 525,00",,,,,,,,
,Sauvignon Tiare mgn,Tiare,,F/G,,"€ 22,00","€ 28,60",4,"€ 88,00",,,,,,,,
,Chardonnay,Tiefenbrunner,,Alto Adige,,"€ 12,00","€ 15,60",6,"€ 72,00",,,,,,,,
,Feldmarschall,Tiefenbrunner,,Alto Adige,,"€ 28,00","€ 36,40",6,"€ 168,00",,,,,,,,
,Lago di Caldaro,Tiefenbrunner,,Alto Adige,,"€ 4,50","€ 5,85",0,"€ 0,00",,,,,,,,
,Lagrein Cas,Tiefenbrunner,,Alto Adige,,"€ 6,00","€ 7,80",0,"€ 0,00",,,,,,,,
,Moscato giallo,Tiefenbrunner,,Alto Adige,,"€ 6,20","€ 8,06",0,"€ 0,00",,,,,,,,
,Pinot Bianco,Tiefenbrunner,,Alto Adige,,"€ 12,00","€ 15,60",6,"€ 72,00",,,,,,,,
,Pinot Nero Ris.Linticlarus,Tiefenbrunner,,Alto Adige,,"€ 22,50","€ 29,25",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino Poggio C.,Tiezzi,,Toscana,,"€ 21,00","€ 27,30",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino Vigna So.Ris,Tiezzi,,Toscana,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino vigna Socc,Tiezzi,,Toscana,,"€ 22,00","€ 28,60",0,"€ 0,00",,,,,,,,
,Brunello di Montalcino Vigna socc,Tiezzi,,Toscana,,"€ 25,00","€ 32,50",0,"€ 0,00",,,,,,,,
,Hidria,Tirreni,,Toscana,,"€ 13,00","€ 16,90",0,"€ 0,00",,,,,,,,
,Tyrsinoi ,Tirreni,,Toscana,,"€ 42,00","€ 54,60",0,"€ 0,00",,,,,,,,
,Barbera ,Tizzano,,Emilia Romagna,,"€ 4,00","€ 5,20",0,"€ 0,00",,,,,,,,
,Cabernet sauvignon ,Tizzano,,Emilia Romagna,,"€ 6,70","€ 8,71",18,"€ 120,60",,,,,,,,
,Cabernet sauvignon magnum ,Tizzano,,Emilia Romagna,,"€ 15,00","€ 19,50",0,"€ 0,00",,,,,,,,
,Cabernet sauvignon ris.,Tizzano,,Emilia Romagna,,"€ 18,00","€ 23,40",24,"€ 432,00",,,,,,,,
,Merlot,Tizzano,,Emilia Romagna,,"€ 5,30","€ 6,89",0,"€ 0,00",,,,,,,,
,Pignoletto frizz,Tizzano,,Emilia Romagna,,"€ 5,30","€ 6,89",84,"€ 445,20",,,,,,,,
,Pignoletto Spum.,Tizzano,,Emilia Romagna,,"€ 8,00","€ 10,40",42,"€ 336,00",,,,,,,,
,Pignoletto Sup. ,Tizzano,,Emilia Romagna,,"€ 5,60","€ 7,28",0,"€ 0,00",,,,,,,,
,Ramandolo,Toblar,,F/G,,"€ 11,00","€ 14,30",0,"€ 0,00",,,,,,,,
,Schioppettino,Toblar,,F/G,,"€ 9,00","€ 11,70",0,"€ 0,00",,,,,,,,
,Duesanti '03 vino Roland,Tolaini,,Toscana,,"€ 15,50","€ 20,15",0,"€ 0,00",,,,,,,,
