CATEGORIA,NOME ,PRODUTTORE,ANNO,PROVENIENZA,FORNITORE,ACQUISTO,VENDITA,Q.tà,MAGAZZINO,,,,,,,,
,Solaia '06,Antinori,,Toscana,,"€ 95,00","€ 123,50",0,"€ 0,00",,,,,,,,
,Solaia '08,Antinori,,Toscana,,"€ 105,00","€ 136,50",0,"€ 0,00",,,,,,,,
,Solaia '09,Antinori,,Toscana,,"€ 105,00","€ 136,50",0,"€ 0,00",,,,,,,,
,Solaia '10,Antinori,,Toscana,,"€ 210,00","€ 273,00",0,"€ 0,00",,,,,,,,
,Solaia '11,Antinori,,Toscana,,"€ 118,00","€ 153,40",0,"€ 0,00",,,,,,,,
,Solaia '15,Antinori,,Toscana,,"€ 210,00","€ 273,00",2,"€ 420,00",,,,,,,,
,Solaia '16 magnum,Antinori,,Toscana,,"€ 210,00","€ 273,00",0,"€ 0,00",,,,,,,,
,Solaia '17,Antinori,,Toscana,,"€ 160,00","€ 208,00",0,"€ 0,00",,,,,,,,
,Solaia '18,Antinori,,Toscana,,"€ 175,00","€ 227,50",0,"€ 0,00",,,,,,,,
,Solaia '18 magnum,Antinori,,Toscana,,"€ 220,00","€ 286,00",0,"€ 0,00",,,,,,,,
,Solaia '19,Antinori,,Toscana,,"€ 185,00","€ 240,50",0,"€ 0,00",,,,,,,,
,Solaia '20,Antinori,,Toscana,,"€ 195,00","€ 253,50",2,"€ 390,00",,,,,,,,
,Solaia '21,Antinori,,Toscana,,"€ 195,00","€ 253,50",3,"€ 585,00",,,,,,,,
,Solaia '97,Antinori,,Toscana,,"€ 50,00","€ 65,00",0,"€ 0,00",,,,,,,,
,Solaia '99,Antinori,,Toscana,,"€ 180,00","€ 234,00",0,"€ 0,00",,,,,,,,
,Solaia doppio magn.'05,Antinori,,Toscana,,"€ 450,00","€ 585,00",0,"€ 0,00",,,,,,,,
,Solaia magn '05,Antinori,,Toscana,,"€ 207,00","€ 269,10",0,"€ 0,00",,,,,,,,
,Spumante Blanc Blanc,Antinori,,Toscana,,"€ 13,90","€ 18,07",0,"€ 0,00",,,,,,,,
,Spumante cuvèe Royal,Antinori,,Toscana,,"€ 12,30","€ 15,99",0,"€ 0,00",,,,,,,,
,Tignanello '01,Antinori,,Toscana,,"€ 28,00","€ 36,40",0,"€ 0,00",,,,,,,,
,Tignanello '04,Antinori,,Toscana,,"€ 29,50","€ 38,35",1,"€ 29,50",,,,,,,,
,Tignanello '05,Antinori,,Toscana,,"€ 30,50","€ 39,65",0,"€ 0,00",,,,,,,,
,Tignanello '06,Antinori,,Toscana,,"€ 32,00","€ 41,60",1,"€ 32,00",,,,,,,,
,Tignanello '08,Antinori,,Toscana,,"€ 32,50","€ 42,25",0,"€ 0,00",,,,,,,,
,Tignanello '10,Antinori,,Toscana,,"€ 82,00","€ 106,60",3,"€ 246,00",,,,,,,,
,Tignanello '11,Antinori,,Toscana,,"€ 35,00","€ 45,50",0,"€ 0,00",,,,,,,,
,Tignanello '12,Antinori,,Toscana,,"€ 39,00","€ 50,70",0,"€ 0,00",,,,,,,,
,Tignanello '13,Antinori,,Toscana,,"€ 40,00","€ 52,00",0,"€ 0,00",,,,,,,,
,Tignanello '14,Antinori,,Toscana,,"€ 40,00","€ 52,00",0,"€ 0,00",,,,,,,,
,Tignanello '15,Antinori,,Toscana,,"€ 52,00","€ 67,60",3,"€ 156,00",,,,,,,,
,Tignanello '16,Antinori,,Toscana,,"€ 45,00","€ 58,50",13,"€ 585,00",,,,,,,,
,Tignanello '17,Antinori,,Toscana,,"€ 47,50","€ 61,75",0,"€ 0,00",,,,,,,,
,Tignanello '18,Antinori,,Toscana,,"€ 50,00","€ 65,00",0,"€ 0,00",,,,,,,,
,Tignanello '19,Antinori,,Toscana,,"€ 54,00","€ 70,20",0,"€ 0,00",,,,,,,,
,Tignanello '20,Antinori,,Toscana,,"€ 59,00","€ 76,70",0,"€ 0,00",,,,,,,,
,Tignanello '21,Antinori,,Toscana,,"€ 61,00","€ 79,30",0,"€ 0,00",,,,,,,,
,Tignanello '22,Antinori,,Toscana,,"€ 61,00","€ 79,30",0,"€ 0,00",,,,,,,,
,Tignanello 09,Antinori,,Toscana,,"€ 32,50","€ 42,25",0,"€ 0,00",,,,,,,,
,Tignanello doppio mgn '11,Antinori,,Toscana,,"€ 175,00","€ 227,50",0,"€ 0,00",,,,,,,,
,Tignanello doppio mgn. 1983,Antinori,,Toscana,,"€ 163,00","€ 211,90",0,"€ 0,00",,,,,,,,
,Tignanello doppio mgn.'10,Antinori,,Toscana,,"€ 165,00","€ 214,50",0,"€ 0,00",,,,,,,,
,Tignanello magnum '14,Antinori,,Toscana,,"€ 92,00","€ 119,60",0,"€ 0,00",,,,,,,,
,Tignanello mezze,Antinori,,Toscana,,"€ 23,40","€ 30,42",0,"€ 0,00",,,,,,,,
,Tignanello mgm '07,Antinori,,Toscana,,"€ 73,60","€ 95,68",0,"€ 0,00",,,,,,,,
,Tignanello mgm '11,Antinori,,Toscana,,"€ 80,50","€ 104,65",0,"€ 0,00",,,,,,,,
,Tignanello mgm '12,Antinori,,Toscana,,"€ 89,70","€ 116,61",0,"€ 0,00",,,,,,,,
,Tignanello mgm '13,Antinori,,Toscana,,"€ 92,00","€ 119,60",0,"€ 0,00",,,,,,,,
,Tignanello mgm '15,Antinori,,Toscana,,"€ 90,00","€ 117,00",0,"€ 0,00",,,,,,,,
,Tignanello mgm '21,Antinori,,Toscana,,"€ 141,00","€ 183,30",2,"€ 282,00",,,,,,,,
,Tignanello mgm '22,Antinori,,Toscana,,"€ 141,00","€ 183,30",1,"€ 141,00",,,,,,,,
,Tignanello mgm.'20,Antinori,,Toscana,,"€ 136,00","€ 176,80",0,"€ 0,00",,,,,,,,
,Tignanello mgn '10,Antinori,,Toscana,,"€ 75,90","€ 98,67",0,"€ 0,00",,,,,,,,
,Vermentino bolgheri,Antinori,,Toscana,,"€ 9,50","€ 12,35",18,"€ 171,00",,,,,,,,
