NOME,PRODUTTORE,ANNO,PROVENIENZA,ACQUISTO,VENDITA,Q.tà,MAGAZZINO
AMENTOS PASSITO,Sardus Pater,,SARDEGNA,"€11,00","€14,30",0,"€0,00"
AMETEUR DE DEUTZ,Deutz,,CHAMPAGNE,"€75,00","€97,50",0,"€0,00"
AMJONIS ISOLA,Tondini,,SARDEGNA,"€8,00","€10,40",0,"€0,00"
AMMESTESSO,Vallona,,EMILIA ROMAGNA,"€10,30","€13,39",0,"€0,00"
ANARKOS,Felline,,PUGLIA,"€4,50","€5,85",0,"€0,00"
ANFITEATRO,Vecchie Terre Di Montefili,,TOSCANA,"€54,00","€70,20",0,"€0,00"
ANFITEATRO,Vecchie Terre Di Montefili,2019,TOSCANA,"€60,00","€78,00",9,"€540,00"
ANGELU RUJU,Sella&Mosca,,SARDEGNA,"€14,00","€18,20",0,"€0,00"
ANGIALIS ARGIOLAS,Argiolas,2002,SARDEGNA,"€19,30","€25,09",0,"€0,00"
ANGIMBÈ,Cusumano,,SICILIA,"€4,10","€5,33",0,"€0,00"
ANIMA ROSSA,Caprai,,UMBRIA,"€3,90","€5,07",0,"€0,00"
ANIMALE CELESTE,Santa Barbara,,MARCHE,"€8,00","€10,40",0,"€0,00"
ANNAMARIA CLEMENTI,Cà Del Bosco,2011,LOMBARDIA,"€82,00","€106,60",0,"€0,00"
ANNAMARIA CLEMENTI,Cà Del Bosco,2015,LOMBARDIA,"€84,00","€109,20",15,"€1.260,00"
ANNAMARIA CLEMENTI,Cà Del Bosco,1980,LOMBARDIA,"€350,00","€455,00",1,"€350,00"
ANNAMARIA CLEMENTI MAGNUM,Cà Del Bosco,2014,LOMBARDIA,"€160,00","€208,00",4,"€640,00"
ANNAMARIA CLEMENTI ROSÈ,Cà Del Bosco,,LOMBARDIA,"€118,00","€153,40",0,"€0,00"
"ANNO ""O""",Camperchi,,TOSCANA,"€6,10","€7,93",0,"€0,00"
ANPHORA,Lispida,,FRIULI VENEZIA GIULIA,"€12,60","€16,38",0,"€0,00"
ANSELMO MERLOT,Torricella,,EMILIA ROMAGNA,"€7,00","€9,10",0,"€0,00"
ANSONICA ELBA,Mola,,TOSCANA,"€6,50","€8,45",0,"€0,00"
ANTICA CHIUSINA 04,Fattoria Cerro,,TOSCANA,"€19,00","€24,70",0,"€0,00"
ANTONUCCI ROSSO,Santa Barbara,,MARCHE,"€8,50","€11,05",0,"€0,00"
APIANAE MOSCATO,Di Majo Norante,,MOLISE,"€8,80","€11,44",0,"€0,00"
APICERO ROSSO,Villaboni,,EMILIA ROMAGNA,"€11,00","€14,30",0,"€0,00"
AR,Zerbina,2014,EMILIA ROMAGNA,"€75,00","€97,50",0,"€0,00"
ARBIATO,Murgo,,SICILIA,"€8,00","€10,40",0,"€0,00"
ARBIS BIANCO UVAGGIO,Borgo San Daniele,,FRIULI VENEZIA GIULIA,"€18,00","€23,40",0,"€0,00"
ARBIS ROSSO,Borgo San Daniele,,FRIULI VENEZIA GIULIA,"€13,00","€16,90",0,"€0,00"
ARBIZZI BABERNET + PRIMITIVO,Cantina Due Palme,,PUGLIA,"€5,40","€7,02",0,"€0,00"
ARCATURA CESANESE,Cincinnato,,CAMPANIA,"€4,80","€6,24",0,"€0,00"
ARCESE,Bera,,PIEMONTE,"€5,20","€6,76",0,"€0,00"
ARCHINERI,Pietradolce,,SICILIA,"€28,00","€36,40",0,"€0,00"
ARCOLAIO CENTESIMINO,Conti Leone,2009,EMILIA ROMAGNA,"€13,00","€16,90",0,"€0,00"
ARGENTIERA,Argentiera,,TOSCANA,"€34,00","€44,20",0,"€0,00"
ARGENTIERA MAGNUM,Argentiera,2005,TOSCANA,"€58,80","€76,44",0,"€0,00"
ARICI D.Z,Arici,,LOMBARDIA,"€13,50","€17,55",0,"€0,00"
ARICI D.Z MAGNUM,Arici,,LOMBARDIA,"€31,00","€40,30",0,"€0,00"
ARICI D.Z ROSATO,Arici,,LOMBARDIA,"€16,00","€20,80",0,"€0,00"
ARLECCHINO,San Vito,,EMILIA ROMAGNA,"€10,80","€14,04",0,"€0,00"
